,t,x,step
0,0.0,7.557603943956915,0.0
1,0.001,-13.731370349597306,0.0
2,0.002,-15.177859134517453,0.0
3,0.003,-7.563756139116816,0.0
4,0.004,15.366022561395063,0.0
5,0.005,4.731952162618754,0.0
6,0.006,-10.728019896246344,0.0
7,0.007,-10.18052476794307,0.0
8,0.008,-4.911070410963171,0.0
9,0.009000000000000001,-13.588344751838704,0.0
10,0.01,-11.439544393107187,0.0
11,0.011,14.341556988190716,0.0
12,0.012,1.59187302072164,0.0
13,0.013000000000000001,3.7635102499115853,0.0
14,0.014,-10.169571891707854,0.0
15,0.015,3.156030500256766,0.0
16,0.016,-14.309371264099191,0.0
17,0.017,-4.887299880826756,0.0
18,0.018000000000000002,2.6991740043553674,0.0
19,0.019,-2.968588951047624,0.0
20,0.02,1.4842548636139703,0.0
21,0.021,-1.847771100657679,0.0
22,0.022,-15.542657996623705,0.0
23,0.023,0.1926525674755576,0.0
24,0.024,-14.635886050763382,0.0
25,0.025,-1.1354430154810593,0.0
26,0.026000000000000002,3.692311429540729,0.0
27,0.027,-11.00229230395611,0.0
28,0.028,5.855104414366922,0.0
29,0.029,-11.554405911517861,0.0
30,0.03,10.64581748488101,0.0
31,0.031,15.365969606351452,0.0
32,0.032,-7.388043281278919,0.0
33,0.033,1.1882870351522998,0.0
34,0.034,-8.381213321256759,0.0
35,0.035,-13.290477293162754,0.0
36,0.036000000000000004,10.33971279654617,0.0
37,0.037,-4.080647469143445,0.0
38,0.038,10.926481274953286,0.0
39,0.039,-5.474590352847695,0.0
40,0.04,-10.946651858932311,0.0
41,0.041,5.694032014483224,0.0
42,0.042,-7.987299138012837,0.0
43,0.043000000000000003,-11.741433425043784,0.0
44,0.044,-13.55884344029389,0.0
45,0.045,-11.360791456857472,0.0
46,0.046,-13.712446276478135,0.0
47,0.047,-4.715860650076516,0.0
48,0.048,-8.962712462999539,0.0
49,0.049,-1.9143561832520883,0.0
50,0.05,-11.453060654455054,0.0
51,0.051000000000000004,6.090199037034342,0.0
52,0.052000000000000005,-11.825833247713867,0.0
53,0.053,11.897481227110006,0.0
54,0.054,-8.773665549652403,0.0
55,0.055,-0.20397907912224708,0.0
56,0.056,6.236683337740428,0.0
57,0.057,-13.926170432473537,0.0
58,0.058,11.030470345691944,0.0
59,0.059000000000000004,-5.3037191153873655,0.0
60,0.06,4.632136315310369,0.0
61,0.061,-10.509340673321844,0.0
62,0.062,-10.146089381599037,0.0
63,0.063,-4.509588581693627,0.0
64,0.064,3.2759144753975495,0.0
65,0.065,4.876001355786521,0.0
66,0.066,11.752922325042686,0.0
67,0.067,-0.7564861941178278,0.0
68,0.068,0.2801744893875413,0.0
69,0.069,-0.9000038323364264,0.0
70,0.07,2.4250260998974187,0.0
71,0.07100000000000001,-1.4017239972606255,0.0
72,0.07200000000000001,3.210997454850813,0.0
73,0.073,-4.4742077350550264,0.0
74,0.074,-11.234374202273314,0.0
75,0.075,6.910131471626457,0.0
76,0.076,11.082410944920035,0.0
77,0.077,-7.039513707924122,0.0
78,0.078,0.5494137207657911,0.0
79,0.079,6.28844201228977,0.0
80,0.08,-2.126230646240755,0.0
81,0.081,-1.6290806843182557,0.0
82,0.082,-2.134264872668954,0.0
83,0.083,-15.378451454874623,0.0
84,0.084,15.212508922527311,0.0
85,0.085,-0.1974832638749102,0.0
86,0.08600000000000001,14.467797024776383,0.0
87,0.08700000000000001,-9.67387585620834,0.0
88,0.088,-3.306414809023919,0.0
89,0.089,2.3882456294621073,0.0
90,0.09,-3.0091362657405707,0.0
91,0.091,-11.293476227390377,0.0
92,0.092,15.454274073158095,0.0
93,0.093,6.365332679366223,0.0
94,0.094,9.454787943631521,0.0
95,0.095,-5.901902311676431,0.0
96,0.096,-7.63370197657156,0.0
97,0.097,10.175639168649298,0.0
98,0.098,-14.780125163550277,0.0
99,0.099,7.607565863158784,0.0
100,0.1,8.539247427573937,0.0
101,0.101,-0.9206478704124007,0.0
102,0.10200000000000001,5.790229437170951,0.0
103,0.10300000000000001,-13.675572344326199,0.0
104,0.10400000000000001,4.3619950661811835,0.0
105,0.105,-0.31776143064567797,0.0
106,0.106,13.465832753092728,0.0
107,0.107,-13.596114299746283,0.0
108,0.108,10.483534773692543,0.0
109,0.109,5.6101509285385545,0.0
110,0.11,-7.642702414960458,0.0
111,0.111,4.574591756495978,0.0
112,0.112,4.640687872152429,0.0
113,0.113,3.3513427631145185,0.0
114,0.114,-4.371973623878745,0.0
115,0.115,12.00352258572378,0.0
116,0.116,0.07864166589732428,0.0
117,0.117,-14.974640471636764,0.0
118,0.11800000000000001,10.960400150219174,0.0
119,0.11900000000000001,2.1242793550486665,0.0
120,0.12,-0.687189579981532,0.0
121,0.121,10.81315241602955,0.0
122,0.122,-11.06625422003292,0.0
123,0.123,-15.367238208952008,0.0
124,0.124,-3.6948266931029403,0.0
